,index,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,date,avgTemp_x,avgTemp_y
714,203048,10A738D83E57C3A1,classic_bike,2022-09-08 17:00:35.058,2022-09-08 17:06:40.468,E 22 St & 2 Ave,5971.09,E 4 St & 2 Ave,5593.04,40.73716919369882,-73.98122549057007,40.7262807,-73.98978041,member,2022-09-08,22.4,18
2466,116887,D9ACDA90EFC0C21D,electric_bike,2022-06-23 09:03:34.316,2022-06-23 09:33:54.850,Clinton St & Joralemon St,4605.04,Broadway & W 29 St,6289.06,40.69239502,-73.99337909,40.7462009,-73.98855723,member,2022-06-23,25.0,9
41,274828,7C33A458921326B3,electric_bike,2022-11-17 08:27:49.298,2022-11-17 08:36:37.697,W 168th S & Fort Washington Ave,8226.07,Edgecombe Ave & W 145 St,7976.08,40.842001557,-73.942083001,40.823498,-73.94386,member,2022-11-17,-0.2,9
1084,251526,51E311C309DDF395,electric_bike,2022-10-25 17:36:40.684,2022-10-25 17:42:51.649,Broadway & W 29 St,6289.06,E 26 St & 3 Ave,6089.11,40.7462009,-73.98855723,40.74069317733043,-73.98160636425018,member,2022-10-25,17.7,11
1534,62516,3555E3FC61243C80,classic_bike,2022-04-30 15:05:00.003,2022-04-30 15:17:25.807,1 Ave & E 62 St,6753.08,5 Ave & E 72 St,7100.07,40.7612274,-73.96094022,40.77282817,-73.96685276,member,2022-04-30,14.2,13
2238,167309,3BE8314D39B5B0F6,classic_bike,2022-08-08 17:43:48.642,2022-08-08 17:48:16.950,31 Ave & 30 St,6857.09,Newtown Ave & 23 St,7026.08,40.7647,-73.9240312,40.7713615,-73.9246145,member,2022-08-08,24.3,10
1671,3846,D717B0CAF44456B8,classic_bike,2022-01-13 19:44:15.941,2022-01-13 19:57:53.941,W 30 St & 10 Ave,6459.07,E 15 St & 3 Ave,5863.07,40.752694,-74.002353,40.734232,-73.986923,casual,2022-01-13,1.9,8
1935,1365,ED5B1043DA490E4B,classic_bike,2022-01-05 16:59:21.391,2022-01-05 17:30:52.712,E 88 St & Park Ave,7293.1,W 100 St & Manhattan Ave,7538.14,40.781411,-73.955959,40.795,-73.9645,casual,2022-01-05,-4.6,9
628,234798,CF96B29144F2C788,electric_bike,2022-10-08 16:14:38.514,2022-10-08 17:04:16.156,Amsterdam Ave & W 152 St,8069.01,Broadway & W 160 St,8157.06,40.829375386,-73.944373012,40.835775,-73.9434,casual,2022-10-08,7.9,10
2762,18184,BF42BF4868B2DFE2,electric_bike,2022-02-20 00:01:58.693,2022-02-20 00:15:07.014,West St & Liberty St,5184.08,Grand St & Samuel Dickstein Plaza,5335.07,40.711444,-74.014847,40.71511871996496,-73.98417055606842,member,2022-02-20,-1.4,4
1090,146054,F2FC71E744252F2D,classic_bike,2022-07-20 23:04:58.832,2022-07-21 00:13:25.320,Fulton St & Waverly Ave,4345.11,S 3 St & Bedford Ave,5235.05,40.68323865460341,-73.96599590778351,40.71260486,-73.96264403,casual,2022-07-20,27.7,14
923,162875,4A8029C24705ACFF,electric_bike,2022-08-04 11:57:20.876,2022-08-04 12:09:24.187,Ave A & E 11 St,5703.13,4 Ave & E 12 St,5788.15,40.72854745023944,-73.98175925016403,40.732647,-73.99011,member,2022-08-04,25.4,9
120,246921,B7AE7697174E91B3,electric_bike,2022-10-20 10:52:36.243,2022-10-20 10:56:40.386,St Johns Pl & Washington Ave,4001.09,Plaza St East & Flatbush Ave,4010.01,40.6737236,-73.9631611,40.673134,-73.969106,member,2022-10-20,6.1,4
1035,62805,ACA31F7D0658289A,classic_bike,2022-04-30 17:27:38.511,2022-04-30 17:50:34.867,E 6 St & 2 Ave,5669.12,Wythe Ave & Metropolitan Ave,5348.02,40.72737869323223,-73.98840844631195,40.716887,-73.963198,member,2022-04-30,14.2,13
2113,30201,B74C24FBFFF9F5CB,classic_bike,2022-03-16 18:53:18.011,2022-03-16 18:54:50.814,W 31 St & 7 Ave,6331.01,6 Ave & W 33 St,6364.07,40.749156,-73.9916,40.74901271,-73.98848395,member,2022-03-16,9.7,11
1772,77798,70BFB79A18E1EEFD,classic_bike,2022-05-18 20:15:07.956,2022-05-18 20:45:27.786,W 84 St & Columbus Ave,7382.04,W 21 St & 6 Ave,6140.05,40.78499979,-73.97283406,40.74173969,-73.99415556,member,2022-05-18,12.9,9
2168,108166,2167A7BE8124A06A,electric_bike,2022-06-15 16:30:11.907,2022-06-15 16:54:44.667,Pinehurst Ave & W 187 St,8458.03,Frederick Douglass Blvd & W 115 St,7658.13,40.855331,-73.937878,40.8038654,-73.9559308,member,2022-06-15,31.5,8
900,181706,795809DF67D3169D,classic_bike,2022-08-20 09:53:27.248,2022-08-20 10:11:59.469,Centre St & Worth St,5279.03,University Pl & E 14 St,5905.14,40.71494807,-74.00234482,40.734814,-73.992085,member,2022-08-20,22.4,11
629,244858,BC63A1B5143424C6,classic_bike,2022-10-18 16:56:35.811,2022-10-18 17:03:11.022,31 St & 23 Ave,7144.01,18 St & 27 Ave,7062.07,40.7747878,-73.9125551,40.772768286288304,-73.92743647098541,member,2022-10-18,4.4,11
151,31870,8ACFBAE324900104,classic_bike,2022-03-18 17:21:45.807,2022-03-18 17:50:44.864,11 Ave & W 59 St,7059.01,W 52 St & 11 Ave,6926.01,40.77149671054441,-73.99046033620834,40.76727216,-73.99392888,casual,2022-03-18,7.0,12
0,262628,13320FDD1EF9ED8C,classic_bike,2022-11-04 14:04:40.479,2022-11-04 14:08:32.293,Putnam Ave & Ralph Ave,4450.06,Hancock St & Malcolm X Blvd,4342.04,40.68705,-73.92338,40.68487,-73.9293,member,2022-11-04,18.1,13
2686,91200,EA039F643388EF88,classic_bike,2022-05-31 17:24:04.539,2022-05-31 17:58:28.683,Leonard St & Nassau Ave,5550.09,E 11 St & 3 Ave,5788.16,40.7239567849954,-73.94984364509583,40.73127,-73.98849,member,2022-05-31,27.0,14
2408,247916,9080E5822A4A76A3,classic_bike,2022-10-21 15:34:39.390,2022-10-21 15:39:19.418,E 10 St & 2 Ave,5746.02,Rivington St & Chrystie St,5453.01,40.72970805644994,-73.9865979552269,40.72110063,-73.9919254,member,2022-10-21,12.9,10
2492,184600,97EF1BDDDE071EFB,classic_bike,2022-08-23 08:15:04.257,2022-08-23 08:48:40.805,Riverside Dr & W 72 St,7288.04,Greenwich Ave & Charles St,5914.08,40.78057799010334,-73.98562431335449,40.735238,-74.000271,member,2022-08-23,22.8,15
2950,186125,4869EADACE724C73,electric_bike,2022-08-24 21:44:32.369,2022-08-24 21:56:20.036,8 Ave & W 52 St,6816.07,6 Ave & W 34 St,6364.10,40.76370739,-73.9851615,40.74964,-73.98805,member,2022-08-24,24.3,11
2814,180322,D4D1BC8E2930B225,classic_bike,2022-08-19 14:10:36.037,2022-08-19 14:45:55.722,Wythe Ave & Metropolitan Ave,5348.02,Degraw St & Smith St,4298.05,40.716887,-73.963198,40.6829151,-73.99318208,casual,2022-08-19,24.6,20
2852,65926,256ACD120F1962B9,classic_bike,2022-05-04 18:30:45.288,2022-05-04 18:48:57.971,Broadway\t& W 48 St,6708.04,7 Ave S & Bleecker St,5805.07,40.76017739537783,-73.98486793041229,40.73213896287381,-74.00363802909851,member,2022-05-04,7.8,5
2430,197975,398F697CD0D8A17F,classic_bike,2022-09-03 14:29:59.611,2022-09-03 14:35:34.520,Frederick Douglass Blvd & W 129 St,7795.09,Frederick Douglass Blvd & W 117 St,7688.12,40.8125511,-73.9492286,40.805159,-73.954692,member,2022-09-03,25.1,9
227,13213,B4C747A33D9A9A51,electric_bike,2022-02-09 16:08:58.172,2022-02-09 16:13:02.888,Garfield Pl & 8 Ave,3978.13,Union St & 4 Ave,4175.15,40.6711978,-73.97484126,40.6772744,-73.98282002,member,2022-02-09,2.4,5
2052,197329,8C57BEF5CF1E1F13,electric_bike,2022-09-03 19:26:54.788,2022-09-03 19:51:02.316,Lewis Ave & Madison St,4425.02,Parade Pl & Crooke Ave,3376.02,40.686312,-73.935775,40.651847,-73.965248,member,2022-09-03,25.1,9
